Gender_Male / Weight (kg),Weight (kg),Gender_Male - Height (m),Gender_Male + Weight (kg),Fat_Percentage + Height (m),Gender_Male - Weight (kg),Fat_Percentage - Height (m),Height (m) - Weight (kg),Weight (kg) / Gender_Male,Height (m) - Workout_Type_Strength,Height (m) / Weight (kg),Gender_Male * Weight (kg),Height (m) * Weight (kg),Fat_Percentage * Height (m),Height (m) + Water_Intake (liters),Weight (kg) - Workout_Type_Yoga,Height (m) / Fat_Percentage,Height (m) - Workout_Type_HIIT,Height (m) + Session_Duration (hours),Weight (kg) + Workout_Type_HIIT,BMI
-0.283093566227621,-3.532401012589425,1.970088334320934,-2.532401012589425,-5.026919445539166,4.532401012589425,-3.0867427768972977,2.562312678268491,-3.532401012589425,-0.9700883343209342,0.27462576611872597,-3.532401012589425,3.4267410144564567,3.935484535303039,-0.03810174194734983,-4.532401012589425,0.23912465363381247,-0.9700883343209342,-1.3738373399140202,-3.532401012589425,21.48
-0.0,-3.5144073811121874,0.5824515987782102,-3.5144073811121874,-4.537128900832403,3.5144073811121874,-3.3722257032759835,2.9319557823339775,0.0,-0.5824515987782102,0.1657325220486774,-0.0,2.046972197886736,2.3034081172333636,-2.1461702686808386,-3.5144073811121874,0.14728170070302957,-1.5824515987782102,-1.58016245811323,-2.5144073811121874,22.26
-0.0,-3.475653971836929,0.039760169018394,-3.475653971836929,-4.02998221859878,3.475653971836929,-3.9504618805619924,3.435893802818535,0.0,-0.039760169018394,0.011439622396409107,-0.0,0.13819258936968873,0.1586519031122387,-1.270718137284194,-3.475653971836929,0.009964400107150728,-0.039760169018394,-0.8889805649179305,-3.475653971836929,25.55
-0.0,-3.5196223559917907,1.6678344582978408,-3.5196223559917907,-5.489858422418591,3.5196223559917907,-2.1541895058229086,1.85178789769395,0.0,-1.6678344582978408,0.47386744644877205,-0.0,5.870147445518539,6.374503267800697,-1.9005103216531558,-3.5196223559917907,0.43637467319792783,-1.6678344582978408,-2.3091682053877003,-3.5196223559917907,25.83
-0.0,-3.5006984254916333,1.5903071111892957,-3.5006984254916333,-5.532805226074258,3.5006984254916333,-2.3521910036956664,1.9103913143023377,0.0,-1.5903071111892957,0.45428280814162253,-0.0,5.567185600188515,6.269782787951948,-2.3221240269998527,-4.500698425491633,0.4033754905766643,-1.5903071111892957,-2.261338950966252,-3.5006984254916333,28.31
-0.0,-3.503716388593327,0.7375062929953005,-3.503716388593327,-4.9345247448711,3.503716388593327,-3.4595121588804982,2.7662100955980264,0.0,-0.7375062929953005,0.2104925773662276,-0.0,2.584012885458346,3.0953275200757955,-0.6374214547137869,-3.503716388593327,0.17572147977230893,-0.7375062929953005,1.0861016529438645,-3.503716388593327,24.2
-0.0,-3.5012419816982825,1.5903071111892957,-3.5012419816982825,-5.4496185581087,3.5012419816982825,-2.2690043357301084,1.9109348705089868,0.0,-1.5903071111892957,0.4542122822421759,-0.0,5.56805002148928,6.137490438330178,-1.989363325363025,-3.5012419816982825,0.41207016667667945,-1.5903071111892957,-1.6673770972243185,-3.5012419816982825,28.22
-0.28821988425307693,-3.4695732481868986,-0.35573207893541725,-2.4695732481868986,-2.764101448497578,4.469573248186899,-5.475565606368412,4.825305327122316,-3.4695732481868986,1.3557320789354173,-0.3907489428689493,-3.4695732481868986,-4.703811752783133,-5.585390473014567,3.119620425401073,-4.469573248186899,-0.3290744807788758,1.3557320789354173,0.03134220004233401,-3.4695732481868986,21.72
-0.0,-3.541627078757058,1.2026703756465698,-3.541627078757058,-5.13592565240909,3.541627078757058,-2.73058490111595,2.338956703110488,0.0,-1.2026703756465698,0.33958131358896476,-0.0,4.259409969208814,4.730409601217833,-1.934487291457127,-3.541627078757058,0.3057697227921838,-2.2026703756465698,-0.953061342123529,-2.541627078757058,21.26
-0.293067339024431,-3.4121850743546585,-0.4332594260439624,-2.4121850743546585,-2.6695920805860576,4.4121850743546585,-5.536110932673982,4.845444500398621,-3.4121850743546585,1.4332594260439624,-0.4200415261223873,-3.4121850743546585,-4.890546421225333,-5.880450595536149,3.197147772509618,-3.4121850743546585,-0.3493325126994923,0.4332594260439624,1.4749818107573263,-2.4121850743546585,31.08
-0.2895121529329831,-3.4540864342626825,-0.35573207893541725,-2.4540864342626825,-2.9474162416507994,4.454086434262683,-5.6588803995216335,4.8098185131981,-3.4540864342626825,0.35573207893541725,-0.3925009129729016,-3.4540864342626825,-4.6828157823455685,-5.8339162186358005,2.786859723764244,-3.4540864342626825,-0.3150558563016778,1.3557320789354173,3.298132395622968,-3.4540864342626825,23.88
-0.0,-3.5351754649653366,1.5903071111892957,-3.5351754649653366,-5.436203203008381,3.5351754649653366,-2.2555889806297893,1.944868353776041,0.0,-1.5903071111892957,0.449852384117768,-0.0,5.622014681236299,6.116155903715011,-2.3221240269998527,-3.5351754649653366,0.4135075605844281,-1.5903071111892957,-1.9643580240952856,-3.5351754649653366,23.46
-0.0,-3.4695732481868986,0.8150336401038439,-3.4695732481868986,-4.6370576042245935,3.4695732481868986,-3.006990324016906,2.654539608083055,0.0,-1.8150336401038438,0.23490890141309384,-0.0,2.8278189140766856,3.115078104041458,-1.8796112575512298,-3.4695732481868986,0.21324660644594914,-0.8150336401038439,-1.5454616652549937,-3.4695732481868986,29.87
-0.29254750073380487,-3.418248310075023,1.6599789458867553,-2.418248310075023,-4.803181170632592,4.418248310075024,-3.4832232788590813,2.758269364188268,-3.418248310075023,-1.6599789458867553,0.1930751911561013,-3.418248310075023,2.2559719164624967,2.734426236883417,0.604768348123657,-3.418248310075023,0.1592919944734876,-0.6599789458867553,-0.2321813562411349,-3.418248310075023,40.45
-0.0,-3.498813665401564,-0.1928218723072414,-3.498813665401564,-3.831452760453445,3.498813665401564,-4.217096505067928,3.6916355377088053,0.0,0.1928218723072414,-0.05511064342007792,-0.0,-0.6746478018168915,-0.7759681693674519,-1.2045164467769724,-3.498813665401564,-0.047914690199700405,0.1928218723072414,-1.6661336749535824,-3.498813665401564,21.58
